ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): CALIFORNIA

Agency Name,State Name [District] Latest available year,State Name [District] 2020-21,Agency ID - NCES Assigned [District] Latest available year,County Name [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2020-21,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
FREMONT UNION HIGH,California,CALIFORNIA,="0614430",Santa Clara County,10836,455.70,23.78
FRENCH GULCH-WHISKEYTOWN ELEMENTARY,California,CALIFORNIA,="0614490",Shasta County,30,2.00,15.00
FRESHWATER ELEMENTARY,California,CALIFORNIA,="0614520",Humboldt County,323,15.00,21.53
FRESNO COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691007",Fresno County,791,92.99,8.51
FRESNO ROP,California,CALIFORNIA,="0600098",Fresno County,="0",–,–
FRESNO UNIFIED,California,CALIFORNIA,="0614550",Fresno County,70088,2159.30,32.46
FRUITVALE ELEMENTARY,California,CALIFORNIA,="0614700",Kern County,3055,141.97,21.52
FUENTE NUEVA CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601882",Humboldt County,141,6.00,23.50
FULLERTON ELEMENTARY,California,CALIFORNIA,="0614730",Orange County,12141,465.69,26.07
FULLERTON JOINT UNION HIGH,California,CALIFORNIA,="0614760",Orange County,13473,544.51,24.74
FUSION CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601856",Stanislaus County,143,5.50,26.00
FUTURES HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601775",Sacramento County,449,18.50,24.27
GABRIELLA CHARTER 2 DISTRICT,CALIFORNIA,CALIFORNIA,="0601652",Los Angeles County,291,12.00,24.25
GABRIELLA CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602143",Los Angeles County,468,21.53,21.74
GALT JOINT UNION ELEMENTARY,California,CALIFORNIA,="0614790",Sacramento County,3332,172.27,19.34
GALT JOINT UNION HIGH,California,CALIFORNIA,="0614820",Sacramento County,2209,99.78,22.14
GANAS ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602499",Los Angeles County,†,†,†
GARDEN GROVE UNIFIED,California,CALIFORNIA,="0614880",Orange County,40124,1688.88,23.76
GARFIELD ELEMENTARY,California,CALIFORNIA,="0614910",Humboldt County,58,3.00,19.33
GARVEY ELEMENTARY,California,CALIFORNIA,="0614940",Los Angeles County,4431,189.02,23.44
GARVEY/ALLEN VISUAL & PERFORMING ARTS ACADEMY FOR STEM DIST,CALIFORNIA,CALIFORNIA,="0602511",Riverside County,122,5.00,24.40
GATEWAY COLLEGE AND CAREER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602008",Riverside County,92,3.25,28.31
GATEWAY HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602426",San Francisco County,519,28.00,18.54
GATEWAY INTERNATIONAL DISTRICT,CALIFORNIA,CALIFORNIA,="0602034",Sacramento County,565,25.50,22.16
GATEWAY MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0601861",San Francisco County,305,17.10,17.84
GATEWAY UNIFIED,California,CALIFORNIA,="0614950",Shasta County,2184,108.50,20.13
GAZELLE UNION ELEMENTARY,California,CALIFORNIA,="0614970",Siskiyou County,38,2.00,19.00
GENERAL SHAFTER ELEMENTARY,California,CALIFORNIA,="0615000",Kern County,178,9.00,19.78
GERBER UNION ELEMENTARY,California,CALIFORNIA,="0615090",Tehama County,382,15.00,25.47
GEYSERVILLE UNIFIED,California,CALIFORNIA,="0615150",Sonoma County,209,16.26,12.85
GILROY PREP (A NAVIGATOR SCHOOL) DISTRICT,CALIFORNIA,CALIFORNIA,="0601831",Santa Clara County,539,18.00,29.94
GILROY UNIFIED,California,CALIFORNIA,="0615180",Santa Clara County,10821,452.08,23.94
GIRLS ATHLETIC LEADERSHIP SCHOOL LOS ANGELES DISTRICT,CALIFORNIA,CALIFORNIA,="0601466",Los Angeles County,228,14.00,16.29
GLACIER HIGH SCHOOL CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601555",Madera County,87,6.99,12.45
GLENDALE UNIFIED,California,CALIFORNIA,="0615240",Los Angeles County,24924,1040.30,23.96
GLENDORA UNIFIED,California,CALIFORNIA,="0615270",Los Angeles County,6833,292.70,23.34
GLENN COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691008",Glenn County,347,16.64,20.85
GLENN COUNTY ROP,California,CALIFORNIA,="0600099",Glenn County,="0",–,–
GLOBAL EDUCATION ACADEMY 2 DISTRICT,CALIFORNIA,CALIFORNIA,="0602032",Los Angeles County,110,6.00,18.33
GLOBAL EDUCATION ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601702",Los Angeles County,277,14.00,19.79
GOALS ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601948",Orange County,251,8.00,31.38
GOETHE INTERNATIONAL CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602178",Los Angeles County,419,21.00,19.95
GOLD OAK UNION ELEMENTARY,California,CALIFORNIA,="0615390",El Dorado County,419,21.60,19.40
GOLD RUSH CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601780",Tuolumne County,471,20.01,23.54
GOLD TRAIL UNION ELEMENTARY,California,CALIFORNIA,="0615450",El Dorado County,593,29.30,20.24
GOLDEN EAGLE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602039",Siskiyou County,573,31.72,18.06
GOLDEN FEATHER UNION ELEMENTARY,California,CALIFORNIA,="0615480",Butte County,62,4.00,15.50
GOLDEN GATE COMMUNITY DISTRICT,CALIFORNIA,CALIFORNIA,="0602067",Contra Costa County,†,†,†
GOLDEN OAK MONTESSORI OF HAYWARD DISTRICT,CALIFORNIA,CALIFORNIA,="0601655",Alameda County,308,11.00,28.00
GOLDEN PLAINS UNIFIED,California,CALIFORNIA,="0691134",Fresno County,1520,73.00,20.82
GOLDEN VALLEY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602012",Ventura County,505,15.51,32.56
GOLDEN VALLEY ORCHARD DISTRICT,CALIFORNIA,CALIFORNIA,="0601587",Sacramento County,277,11.00,25.18
GOLDEN VALLEY RIVER DISTRICT,CALIFORNIA,CALIFORNIA,="0601669",Sacramento County,311,12.00,25.92
GOLDEN VALLEY TAHOE DISTRICT,CALIFORNIA,CALIFORNIA,="0601982",Placer County,107,5.00,21.40
GOLDEN VALLEY UNIFIED,California,CALIFORNIA,="0600068",Madera County,2089,96.14,21.73
GOLETA UNION ELEMENTARY,California,CALIFORNIA,="0615510",Santa Barbara County,3378,188.71,17.90
GOMPERS PREPARATORY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601788",San Diego County,1337,62.20,21.50
GONZALES UNIFIED,California,CALIFORNIA,="0600046",Monterey County,2254,90.16,25.00
GORMAN JOINT,California,CALIFORNIA,="0615600",Los Angeles County,59,–,–
GORMAN LEARNING CENTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602117",San Bernardino County,1242,59.00,21.05
GORMAN LEARNING CENTER SAN BERNARDINO/SANTA CLARITA DISTRICT,CALIFORNIA,CALIFORNIA,="0601823",Los Angeles County,1513,55.12,27.45
GRACE HOPPER STEM ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602048",Los Angeles County,70,6.00,11.67
GRANADA HILLS CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602206",Los Angeles County,5462,209.68,26.05
GRANITE MOUNTAIN CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602516",San Bernardino County,3285,101.21,32.46
GRANT ELEMENTARY,California,CALIFORNIA,="0615690",Shasta County,633,31.17,20.31
GRASS VALLEY ELEMENTARY,California,CALIFORNIA,="0615780",Nevada County,1694,77.49,21.86
GRATTON ELEMENTARY,California,CALIFORNIA,="0615810",Stanislaus County,143,9.00,15.89
GRAVENSTEIN UNION ELEMENTARY,California,CALIFORNIA,="0615840",Sonoma County,757,42.57,17.78
GRAVES ELEMENTARY,California,CALIFORNIA,="0615870",Monterey County,40,2.00,20.00
GREAT VALLEY ACADEMY - SALIDA DISTRICT,CALIFORNIA,CALIFORNIA,="0602244",Stanislaus County,815,35.67,22.85
GREAT VALLEY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602363",Stanislaus County,871,38.10,22.86
GREATER ANAHEIM SELPA JPA,California,CALIFORNIA,="0601416",Orange County,†,†,†
GREATER SAN DIEGO ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602129",San Diego County,216,9.00,24.00
GREEN POINT ELEMENTARY,California,CALIFORNIA,="0615990",Humboldt County,10,1.00,10.00
GREENFIELD UNION,California,CALIFORNIA,="0616050",Kern County,9334,414.67,22.51
GREENFIELD UNION ELEMENTARY,California,CALIFORNIA,="0616080",Monterey County,3465,140.73,24.62
GRENADA ELEMENTARY,California,CALIFORNIA,="0616110",Siskiyou County,204,10.50,19.43
GRIDLEY UNIFIED,California,CALIFORNIA,="0600051",Butte County,2080,100.76,20.64
GRIFFIN ACADEMY HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602530",Solano County,104,2.80,37.14
GRIMMWAY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602454",Kern County,820,27.00,30.37
GRIMMWAY ACADEMY SHAFTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602091",Kern County,700,21.50,32.56
GROSSMONT SECONDARY DISTRICT,CALIFORNIA,CALIFORNIA,="0601940",San Diego County,331,10.00,33.10
GROSSMONT UNION HIGH,California,CALIFORNIA,="0616230",San Diego County,16996,719.65,23.62
GROVE DISTRICT,CALIFORNIA,CALIFORNIA,="0602201",San Bernardino County,243,18.00,13.50
GROWTH PUBLIC DISTRICT,CALIFORNIA,CALIFORNIA,="0602183",Sacramento County,243,10.00,24.30
GUADALUPE UNION ELEMENTARY,California,CALIFORNIA,="0616260",Santa Barbara County,1270,58.80,21.60
GUAJOME LEARNING CENTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602247",San Diego County,85,3.60,23.61
GUAJOME PARK ACADEMY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601705",San Diego County,1409,74.20,18.99
GUERNEVILLE ELEMENTARY,California,CALIFORNIA,="0616320",Sonoma County,244,12.80,19.06
GUSTINE UNIFIED,California,CALIFORNIA,="0616323",Merced County,1765,79.20,22.29
HACIENDA LA PUENTE UNIFIED,California,CALIFORNIA,="0616325",Los Angeles County,17329,752.34,23.03
HAMILTON UNIFIED,California,CALIFORNIA,="0601339",Glenn County,709,34.38,20.62
HANFORD ELEMENTARY,California,CALIFORNIA,="0616470",Kings County,5690,240.03,23.71
HANFORD JOINT UNION HIGH,California,CALIFORNIA,="0616500",Kings County,4056,171.67,23.63
HAPPY CAMP UNION ELEMENTARY,California,CALIFORNIA,="0616530",Siskiyou County,97,6.00,16.17
HAPPY VALLEY ELEMENTARY,California,CALIFORNIA,="0616560",Santa Cruz County,105,5.80,18.10
HAPPY VALLEY UNION ELEMENTARY,California,CALIFORNIA,="0616570",Shasta County,468,25.50,18.35
HARBOR SPRINGS CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601516",San Diego County,287,9.74,29.47
HARDY BROWN COLLEGE PREP DISTRICT,CALIFORNIA,CALIFORNIA,="0602423",San Bernardino County,403,19.00,21.21
HARMONY UNION ELEMENTARY,California,CALIFORNIA,="0616620",Sonoma County,200,13.00,15.38
HARRIET TUBMAN VILLAGE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601817",San Diego County,414,17.00,24.35
HART ROP,California,CALIFORNIA,="0600111",Los Angeles County,="0",–,–
HART-RANSOM UNION ELEMENTARY,California,CALIFORNIA,="0616650",Stanislaus County,1208,54.66,22.10
HARVEST RIDGE COOPERATIVE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602216",Placer County,179,7.76,23.07
HAWKING S.T.E.A.M. CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602075",San Diego County,1295,59.00,21.95
HAWTHORNE,California,CALIFORNIA,="0616680",Los Angeles County,7581,305.63,24.80
HAYWARD COLLEGIATE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602523",Alameda County,116,4.00,29.00
HAYWARD UNIFIED,California,CALIFORNIA,="0616740",Alameda County,19069,841.09,22.67
HEALDSBURG UNIFIED,California,CALIFORNIA,="0600044",Sonoma County,1317,78.60,16.76
HEALTH SCIENCES HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602374",San Diego County,615,29.00,21.21
HEARTLAND CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601590",Kern County,4661,159.89,29.15
HEARTWOOD CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602512",Sonoma County,179,7.30,24.52
HEBER ELEMENTARY,California,CALIFORNIA,="0616830",Imperial County,1181,54.00,21.87
HELENDALE ELEMENTARY,California,CALIFORNIA,="0616860",San Bernardino County,1163,53.06,21.92
HELIX HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602211",San Diego County,2469,100.34,24.61
HEMET UNIFIED,California,CALIFORNIA,="0616920",Riverside County,21573,956.34,22.56
HERITAGE K-8 CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601660",San Diego County,1299,53.71,24.19
HERITAGE PEAK CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602371",Sacramento County,1061,45.54,23.30
HERMOSA BEACH CITY ELEMENTARY,California,CALIFORNIA,="0617040",Los Angeles County,1198,56.50,21.20
HESPERIA UNIFIED,California,CALIFORNIA,="0600014",San Bernardino County,21926,929.33,23.59
HICKMAN COMMUNITY CHARTER,California,CALIFORNIA,="0617160",Stanislaus County,1059,45.15,23.46
HIGH TECH ELEMENTARY CHULA VISTA DISTRICT,CALIFORNIA,CALIFORNIA,="0602097",San Diego County,429,17.00,25.24
HIGH TECH ELEMENTARY DISTRICT,CALIFORNIA,CALIFORNIA,="0602429",San Diego County,436,18.00,24.22
HIGH TECH ELEMENTARY EXPLORER DISTRICT,CALIFORNIA,CALIFORNIA,="0601768",San Diego County,401,15.64,25.64
HIGH TECH ELEMENTARY MESA DISTRICT,CALIFORNIA,CALIFORNIA,="0602049",San Diego County,312,12.00,26.00
HIGH TECH ELEMENTARY NORTH COUNTY DISTRICT,CALIFORNIA,CALIFORNIA,="0602431",San Diego County,437,18.00,24.28
HIGH TECH HIGH CHULA VISTA DISTRICT,CALIFORNIA,CALIFORNIA,="0602061",San Diego County,607,30.00,20.23
HIGH TECH HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601753",San Diego County,527,16.00,32.94
HIGH TECH HIGH INTERNATIONAL DISTRICT,CALIFORNIA,CALIFORNIA,="0601891",San Diego County,403,19.40,20.77
HIGH TECH HIGH MEDIA ARTS DISTRICT,CALIFORNIA,CALIFORNIA,="0601515",San Diego County,404,21.00,19.24
HIGH TECH HIGH MESA DISTRICT,CALIFORNIA,CALIFORNIA,="0602341",San Diego County,318,15.00,21.20
HIGH TECH HIGH NORTH COUNTY DISTRICT,CALIFORNIA,CALIFORNIA,="0601818",San Diego County,422,21.00,20.10
HIGH TECH LA DISTRICT,CALIFORNIA,CALIFORNIA,="0601684",Los Angeles County,369,14.00,26.36
HIGH TECH LA MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0601787",Los Angeles County,213,6.83,31.19
HIGH TECH MIDDLE CHULA VISTA DISTRICT,CALIFORNIA,CALIFORNIA,="0601800",San Diego County,336,15.00,22.40
HIGH TECH MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0601808",San Diego County,341,15.00,22.73
HIGH TECH MIDDLE MEDIA ARTS DISTRICT,CALIFORNIA,CALIFORNIA,="0601878",San Diego County,340,15.00,22.67
HIGH TECH MIDDLE MESA DISTRICT,CALIFORNIA,CALIFORNIA,="0602232",San Diego County,233,11.00,21.18
HIGH TECH MIDDLE NORTH COUNTY DISTRICT,CALIFORNIA,CALIFORNIA,="0601622",San Diego County,333,14.00,23.79
HIGHER LEARNING ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601824",Sacramento County,470,21.00,22.38
HIGHLAND ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602073",Riverside County,327,17.20,19.01
HIGHLANDS COMMUNITY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602442",Sacramento County,3225,67.75,47.60
HILLSBOROUGH CITY ELEMENTARY,California,CALIFORNIA,="0617190",San Mateo County,1268,94.00,13.49
HILMAR UNIFIED,California,CALIFORNIA,="0617220",Merced County,2350,110.32,21.30
HOLLISTER,California,CALIFORNIA,="0617340",San Benito County,5415,224.19,24.15
HOLLISTER PREP DISTRICT,CALIFORNIA,CALIFORNIA,="0602320",San Benito County,542,18.00,30.11
HOLLY DRIVE LEADERSHIP ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602302",San Diego County,128,5.90,21.69
HOLTVILLE UNIFIED,California,CALIFORNIA,="0617430",Imperial County,1612,85.87,18.77
HOMETECH CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602339",Butte County,132,5.50,24.00
HOPE ELEMENTARY,California,CALIFORNIA,="0617490",Santa Barbara County,775,40.00,19.38
HOPE ELEMENTARY,California,CALIFORNIA,="0617520",Tulare County,239,11.00,21.73
HORICON ELEMENTARY,California,CALIFORNIA,="0617580",Sonoma County,59,4.75,12.42
HORIZON CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601730",Placer County,2630,95.12,27.65
HORNBROOK ELEMENTARY,California,CALIFORNIA,="0617620",Siskiyou County,51,4.47,11.41
HOT SPRINGS ELEMENTARY,California,CALIFORNIA,="0617640",Tulare County,20,2.00,10.00
HOWARD GARDNER COMMUNITY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601520",San Diego County,215,9.00,23.89
HOWELL MOUNTAIN ELEMENTARY,California,CALIFORNIA,="0617760",Napa County,88,6.00,14.67
HUENEME ELEMENTARY,California,CALIFORNIA,="0617850",Ventura County,7544,337.60,22.35
HUGHES-ELIZABETH LAKES UNION ELEMENTARY,California,CALIFORNIA,="0617880",Los Angeles County,178,7.92,22.47
HUGHSON UNIFIED,California,CALIFORNIA,="0600060",Stanislaus County,2058,86.76,23.72
HUMBOLDT COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691009",Humboldt County,251,24.00,10.46
HUMBOLDT COUNTY ROP,California,CALIFORNIA,="0600100",Humboldt County,="0",–,–
HUME LAKE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601752",Fresno County,74,6.23,11.88
HUMPHREYS COLLEGE ACADEMY OF BUSINESS LAW AND ED DISTRICT,CALIFORNIA,CALIFORNIA,="0601628",San Joaquin County,1033,44.33,23.30
HUNTINGTON BEACH CITY ELEMENTARY,California,CALIFORNIA,="0618030",Orange County,5310,221.02,24.02
HUNTINGTON BEACH UNION HIGH,California,CALIFORNIA,="0618060",Orange County,15534,629.89,24.66
HYDESVILLE ELEMENTARY,California,CALIFORNIA,="0618120",Humboldt County,175,8.50,20.59
ICEF INGLEWOOD ELEMENTARY CHARTER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601725",Los Angeles County,414,18.00,23.00
ICEF INNOVATION LOS ANGELES CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602263",Los Angeles County,252,10.00,25.20
ICEF VIEW PARK PREPARATORY ELEMENTARY DISTRICT,CALIFORNIA,CALIFORNIA,="0601881",Los Angeles County,454,19.00,23.89
ICEF VIEW PARK PREPARATORY HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601731",Los Angeles County,442,19.78,22.35
ICEF VIEW PARK PREPARATORY MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0602300",Los Angeles County,296,14.00,21.14
ICEF VISTA ELEMENTARY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602368",Los Angeles County,308,11.50,26.78
ICEF VISTA MIDDLE ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601918",Los Angeles County,217,9.50,22.84
IEMPIRE ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602464",San Bernardino County,462,17.00,27.18
IFTIN CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601527",San Diego County,363,16.75,21.67
IGO ONO PLATINA UNION ELEMENTARY,California,CALIFORNIA,="0618160",Shasta County,37,2.00,18.50
ILEAD AGUA DULCE DISTRICT,CALIFORNIA,CALIFORNIA,="0602174",Los Angeles County,281,13.00,21.62
ILEAD HYBRID DISTRICT,CALIFORNIA,CALIFORNIA,="0602482",Los Angeles County,3670,163.53,22.44
ILEAD LANCASTER CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602060",Los Angeles County,796,33.50,23.76
ILEAD ONLINE DISTRICT,CALIFORNIA,CALIFORNIA,="0601806",Los Angeles County,256,36.27,7.06
IMAGINE SCHOOLS RIVERSIDE COUNTY DISTRICT,CALIFORNIA,CALIFORNIA,="0602372",Riverside County,1015,44.67,22.72
IMPACT ACADEMY OF ARTS & TECHNOLOGY DISTRICT,CALIFORNIA,CALIFORNIA,="0601647",Alameda County,824,29.00,28.41
IMPERIAL COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691010",Imperial County,725,50.01,14.50
IMPERIAL UNIFIED,California,CALIFORNIA,="0618210",Imperial County,4335,176.50,24.56
IMPERIAL VALLEY ROP,California,CALIFORNIA,="0600101",Imperial County,="0",–,–
IMPERIAL VALLEY ROP JPA,California,CALIFORNIA,="0601405",Imperial County,†,†,†
INDIAN DIGGINGS ELEMENTARY,California,CALIFORNIA,="0618240",El Dorado County,14,="0.80",17.50
INDIAN SPRINGS ELEMENTARY,California,CALIFORNIA,="0618270",Shasta County,19,2.00,9.50
INGENIUM CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602023",Los Angeles County,395,13.00,30.38
INGENIUM CHARTER MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0601858",Los Angeles County,232,8.52,27.23
INGENIUM CLARION CHARTER MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0602063",Los Angeles County,150,6.55,22.90
INGENUITY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601533",San Diego County,218,7.60,28.68
INGLEWOOD UNIFIED,California,CALIFORNIA,="0618390",Los Angeles County,7950,327.80,24.25
INLAND LEADERS CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602309",San Bernardino County,985,43.24,22.78
INNOVATIONS ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601627",San Diego County,412,20.00,20.60
INSIGHT @ SAN DIEGO DISTRICT,CALIFORNIA,CALIFORNIA,="0601528",Ventura County,208,6.18,33.66
INSIGHT @ SAN JOAQUIN DISTRICT,CALIFORNIA,CALIFORNIA,="0602171",Ventura County,305,8.67,35.18
INSIGHT SCHOOL OF CALIFORNIA DISTRICT,CALIFORNIA,CALIFORNIA,="0601745",Ventura County,371,11.29,32.86
INSPIRE CHARTER SCHOOL - NORTH DISTRICT,CALIFORNIA,CALIFORNIA,="0602400",Sutter County,1023,40.38,25.33
INSPIRE SCHOOL OF ARTS AND SCIENCES DISTRICT,CALIFORNIA,CALIFORNIA,="0601554",Butte County,426,22.10,19.28
INTEGRITY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601928",San Diego County,384,18.00,21.33
INTELLECTUAL VIRTUES ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601535",Los Angeles County,96,6.80,14.12
INTELLECTUAL VIRTUES ACADEMY OF LONG BEACH DISTRICT,CALIFORNIA,CALIFORNIA,="0602200",Los Angeles County,238,9.81,24.26
INTERNATIONAL SCHOOL FOR SCIENCE AND CULTURE DISTRICT,CALIFORNIA,CALIFORNIA,="0602507",Orange County,158,7.00,22.57
INTERNATIONAL SCHOOL OF MONTEREY DISTRICT,CALIFORNIA,CALIFORNIA,="0601567",Monterey County,424,25.25,16.79
INVICTUS ACADEMY OF RICHMOND DISTRICT,CALIFORNIA,CALIFORNIA,="0602037",Contra Costa County,217,14.00,15.50
INVICTUS LEADERSHIP ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602547",Los Angeles County,27,3.00,9.00
INYO COUNTY CAREER TECHNICAL EDUCATION,California,CALIFORNIA,="0601424",Inyo County,†,†,†
INYO COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691011",Inyo County,13,1.01,12.87
IPAKANNI EARLY COLLEGE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601941",Butte County,92,6.41,14.35
IQ ACADEMY CALIFORNIA-LOS ANGELES DISTRICT,CALIFORNIA,CALIFORNIA,="0601964",Ventura County,1060,38.18,27.76
IRVINE INTERNATIONAL ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602552",Orange County,†,†,†
IRVINE UNIFIED,California,CALIFORNIA,="0684500",Orange County,35660,1379.91,25.84
ISANA ACHERNAR ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601777",Los Angeles County,463,20.00,23.15
ISANA CARDINAL ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601863",Los Angeles County,330,12.00,27.50
ISANA HIMALIA ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601507",Los Angeles County,717,29.50,24.31
ISANA NASCENT ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601599",Los Angeles County,576,27.00,21.33
ISANA OCTAVIA ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602241",Los Angeles County,460,18.00,25.56
ISANA PALMATI ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601541",Los Angeles County,368,14.50,25.38
ISLAND UNION ELEMENTARY,California,CALIFORNIA,="0618510",Kings County,398,18.00,22.11
IVY ACADEMIA DISTRICT,CALIFORNIA,CALIFORNIA,="0602025",Los Angeles County,603,22.01,27.40
IVY BOUND ACAD MATH SCI AND TECH CHARTER MID 2 DISTRICT,CALIFORNIA,CALIFORNIA,="0601546",Los Angeles County,131,8.50,15.41
IVY BOUND ACAD OF MATH SCI AND TECH CHARTER MID DISTRICT,CALIFORNIA,CALIFORNIA,="0602099",Los Angeles County,167,8.00,20.88
IVYTECH CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602134",Ventura County,78,3.05,25.57
JACOBY CREEK ELEMENTARY,California,CALIFORNIA,="0618660",Humboldt County,454,20.87,21.75
JAMES JORDAN MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0602325",Los Angeles County,418,17.00,24.59
JAMESTOWN ELEMENTARY,California,CALIFORNIA,="0618690",Tuolumne County,340,17.50,19.43
JAMUL-DULZURA UNION ELEMENTARY,California,CALIFORNIA,="0618730",San Diego County,526,22.00,23.91
JANESVILLE UNION ELEMENTARY,California,CALIFORNIA,="0618780",Lassen County,386,19.00,20.32
JARDIN DE LA INFANCIA DISTRICT,CALIFORNIA,CALIFORNIA,="0602019",Los Angeles County,23,2.00,11.50
JCS - CEDAR COVE DISTRICT,CALIFORNIA,CALIFORNIA,="0601688",San Diego County,176,10.22,17.22
