,District Name,State Name [District] Latest available year_x,Total Staff [District] 2020-21,Paraprofessionals/Instructional Aides [District] 2020-21,Total Guidance Counselors [District] 2020-21,Instructional Coordinators [District] 2020-21,Librarians/media specialists [District] 2020-21,LEA Administrators [District] 2020-21,LEA Administrative Support Staff [District] 2020-21,School Administrators [District] 2020-21,Student Support Services Staff (w/o Psychology) [District] 2020-21,School Psychologist [District] 2020-21,Other Support Services Staff [District] 2020-21,Agency Name [District] 2020-21,Agency_ID,County Name [District] 2020-21_x,County Number [District] 2020-21,Total Number Operational Schools [Public School] 2020-21,State Name [District] 2020-21,"Total Students, All Grades (Excludes AE) [District] 2020-21",Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
112,animo westside charter middle district,CALIFORNIA,25.41,1,1,0,0,0,0,2,0,1,0.2,Animo Westside Charter Middle District,602105.0,Los Angeles County,6037.0,1.0,CALIFORNIA,355,19.21,18.48
113,antelope elementary,California,85.68,14.16,0,0,0,1.5,1,2.1,0,1,21.1,Antelope Elementary,602760.0,Tehama County,6103.0,4.0,CALIFORNIA,817,36.62,22.31
114,antelope valley learning academy district,CALIFORNIA,120.42,8,4.4,0,0,1.15,0,5.9,1,2.7,11.04,Antelope Valley Learning Academy District,601854.0,Los Angeles County,6037.0,1.0,CALIFORNIA,1539,60.38,25.49
115,antelope valley rop,California,–,–,–,–,–,–,–,–,–,–,–,Antelope Valley ROP,600112.0,Los Angeles County,6037.0,1.0,CALIFORNIA,0,–,–
116,antelope valley schools transportation agency,California,–,–,†,–,–,–,–,–,–,–,–,Antelope Valley Schools Transportation Agency,601363.0,Los Angeles County,6037.0,0.0,CALIFORNIA,†,†,†
117,antelope valley union high,California,2106.63,349,64,16.62,0,18,2,56,19.2,24,312.52,Antelope Valley Union High,602820.0,Los Angeles County,6037.0,13.0,CALIFORNIA,21991,927.29,23.72
118,antioch charter academy district,CALIFORNIA,22.2,6.33,0,0,0,0.42,0,0,0.5,0,2.75,Antioch Charter Academy District,602027.0,Contra Costa County,6013.0,1.0,CALIFORNIA,194,10.4,18.65
119,antioch charter academy ii district,CALIFORNIA,20.86,5.48,0,0,0,0.28,0,0,0.5,0,3.46,Antioch Charter Academy II District,601822.0,Contra Costa County,6013.0,1.0,CALIFORNIA,199,9.51,20.93
120,antioch unified,California,1435.3,190.09,30.5,1.33,0,9.33,0.33,44,8.5,17.7,299.11,Antioch Unified,602850.0,Contra Costa County,6013.0,24.0,CALIFORNIA,15652,699.92,22.36
121,apex academy district,CALIFORNIA,38,4,3,0,0,0,0,4,1,0,3,APEX Academy District,601761.0,Los Angeles County,6037.0,1.0,CALIFORNIA,352,20,17.6
122,apple valley unified,California,1061.41,164.21,20.89,21.33,0,6,0,33.8,16.75,7,168.36,Apple Valley Unified,600017.0,San Bernardino County,6071.0,14.0,CALIFORNIA,12892,546.53,23.59
123,ararat charter district,CALIFORNIA,36.53,1.88,0,1,0,0,0,2,0,0,13.65,Ararat Charter District,601742.0,Los Angeles County,6037.0,1.0,CALIFORNIA,340,13,26.15
124,arcadia unified,California,786.28,107,22,0.5,0.75,8,0,18.6,14.8,11.8,156.66,Arcadia Unified,602970.0,Los Angeles County,6037.0,11.0,CALIFORNIA,8946,370.67,24.13
125,arcata elementary,California,72.97,17.89,0,0,0,2,0,2,1,2,14.96,Arcata Elementary,603000.0,Humboldt County,6023.0,2.0,CALIFORNIA,484,27.5,17.6
126,architectureconstruction & engineer chtr high(ace) district,CALIFORNIA,18.95,0,1,0,0,0,0,1.8,0,0,3,ArchitectureConstruction & Engineer CHTR High(ACE) District,602277.0,Ventura County,6111.0,1.0,CALIFORNIA,256,13.15,19.47
127,arcohe union elementary,California,40.5,3.82,0,0,0,0.5,0,1.5,0,0,8.99,Arcohe Union Elementary,603060.0,Sacramento County,6067.0,1.0,CALIFORNIA,466,23,20.26
128,arena union elementary,California,33.49,10.89,0,0,0,0.5,0,1,0,0,6.73,Arena Union Elementary,603090.0,Mendocino County,6045.0,1.0,CALIFORNIA,210,12.37,16.98
129,arena union elementary/point arena joint union high,California,–,–,†,–,–,–,–,–,–,–,–,Arena Union Elementary/Point Arena Joint Union High,601325.0,Mendocino County,6045.0,0.0,CALIFORNIA,†,†,†
130,arise high district,CALIFORNIA,36.5,0,0.5,0,0,2.3,1,0,0,0,12,ARISE High District,602462.0,Alameda County,6001.0,1.0,CALIFORNIA,387,19.7,19.64
131,armona union elementary,California,111.5,12.75,0,0,0,3,0,4,0,1,24.75,Armona Union Elementary,603180.0,Kings County,6031.0,3.0,CALIFORNIA,1134,54.5,20.81
132,aromas - san juan unified,California,95.65,12,0.5,0,0,0,0,2.85,0,0.5,19,Aromas - San Juan Unified,691136.0,San Benito County,6069.0,3.0,CALIFORNIA,1017,46.55,21.85
133,arroyo vista charter district,CALIFORNIA,58.51,2,0,0,0,0,0,2,1.5,2,7.19,Arroyo Vista Charter District,601645.0,San Diego County,6073.0,1.0,CALIFORNIA,944,39.07,24.16
134,arts in action community charter district,CALIFORNIA,50.7,11,2,0,0,3,0,0,0,0,11,Arts In Action Community Charter District,602389.0,Los Angeles County,6037.0,1.0,CALIFORNIA,391,18,21.72
135,arts in action community middle district,CALIFORNIA,34.3,11,2,0,0,4,0,0,0,0,3,Arts in Action Community Middle District,601939.0,Los Angeles County,6037.0,1.0,CALIFORNIA,216,9,24
136,arvin union,California,298.21,44.87,0,3,1,2,0,9,1,2,80.98,Arvin Union,603270.0,Kern County,6029.0,4.0,CALIFORNIA,3024,126.8,23.85
137,asa charter district,CALIFORNIA,28.7,0,0,0,0,0,0,1,0,0,7,ASA Charter District,601711.0,San Bernardino County,6071.0,1.0,CALIFORNIA,243,14.2,17.11
138,ascend district,CALIFORNIA,45.92,5.6,0,0.5,0,0,0,2.6,0.2,0,10.77,ASCEND District,601704.0,Alameda County,6001.0,1.0,CALIFORNIA,510,23.25,21.94
139,aspen meadow public district,CALIFORNIA,39.8,4.37,0.2,1.45,0,2.2,0,1,0.65,0.3,10.9,Aspen Meadow Public District,602321.0,Fresno County,6019.0,1.0,CALIFORNIA,257,14.01,18.34
140,aspen valley prep academy district,CALIFORNIA,55.17,8.5,0.8,0.55,0,1.8,0,2.73,0.65,0.3,14.12,Aspen Valley Prep Academy District,601714.0,Fresno County,6019.0,1.0,CALIFORNIA,392,21,18.67
141,aspire alexander twilight college preparatory acad district,CALIFORNIA,38.75,7.76,1,0,0,0.58,0,2,0,0.4,6.1,Aspire Alexander Twilight College Preparatory ACAD District,602123.0,Sacramento County,6067.0,1.0,CALIFORNIA,433,19.51,22.19
142,aspire alexander twilight secondary academy district,CALIFORNIA,48.15,7.75,3,0,0,0,0,3,0,0.6,9.3,Aspire Alexander Twilight Secondary Academy District,601703.0,Sacramento County,6067.0,1.0,CALIFORNIA,531,22.5,23.6
143,aspire antonio maria lugo academy district,CALIFORNIA,41.5,8.3,1.15,0,0,0,0,3,0.5,1,9.55,Aspire Antonio Maria Lugo Academy District,601821.0,Los Angeles County,6037.0,1.0,CALIFORNIA,415,17,24.41
144,aspire apex academy district,CALIFORNIA,33.7,8.01,1.5,0,0,0,0,2,0,0,6.38,Aspire APEX Academy District,602367.0,San Joaquin County,6077.0,1.0,CALIFORNIA,324,14.31,22.64
145,aspire benjamin holt college preparatory academy district,CALIFORNIA,39.58,3.63,3,0,0,0.25,0,2.5,0,0,6.7,Aspire Benjamin Holt College Preparatory Academy District,602376.0,San Joaquin County,6077.0,1.0,CALIFORNIA,572,20.5,27.9
146,aspire benjamin holt middle district,CALIFORNIA,35.85,2.25,1.4,0,0,0,0,2,0,0.35,7.98,Aspire Benjamin Holt Middle District,602069.0,San Joaquin County,6077.0,1.0,CALIFORNIA,575,20.87,27.55
147,aspire berkley maynard academy district,CALIFORNIA,56.89,14.89,1,0,0,0,0,3.8,0.5,0.4,8,Aspire Berkley Maynard Academy District,602046.0,Alameda County,6001.0,1.0,CALIFORNIA,561,26.3,21.33
148,aspire capitol heights academy district,CALIFORNIA,26.79,5.29,1,0,0,0,0,3,0,0,5,Aspire Capitol Heights Academy District,601598.0,Sacramento County,6067.0,1.0,CALIFORNIA,186,12.5,14.88
149,aspire centennial college preparatory academy district,CALIFORNIA,54.18,9.18,3,0,0,0,0,2.3,0.5,0.83,11.47,Aspire Centennial College Preparatory Academy District,601553.0,Los Angeles County,6037.0,1.0,CALIFORNIA,483,22.9,21.09
150,aspire college academy district,CALIFORNIA,29.75,9.25,1.5,0,0,0,0,1,1,0,2,Aspire College Academy District,602112.0,Alameda County,6001.0,1.0,CALIFORNIA,271,13,20.85
151,aspire east palo alto charter district,CALIFORNIA,53.95,8.5,1,0,0,0,0,4.5,0,0.2,7.27,Aspire East Palo Alto Charter District,601604.0,San Mateo County,6081.0,1.0,CALIFORNIA,632,30.48,20.73
152,aspire eres academy district,CALIFORNIA,27.23,9.43,0.8,0,0,0,0,1,0.5,0,6.79,Aspire ERES Academy District,601994.0,Alameda County,6001.0,1.0,CALIFORNIA,228,7.71,29.57
153,aspire firestone academy charter district,CALIFORNIA,40.96,5.65,1.5,0,0,0.5,0,3,0.5,0.33,9.6,Aspire Firestone Academy Charter District,602262.0,Los Angeles County,6037.0,1.0,CALIFORNIA,370,17,21.76
154,aspire gateway academy charter district,CALIFORNIA,47.63,9.65,2,0,0,0.5,0,3,0.5,0.33,9.8,Aspire Gateway Academy Charter District,602472.0,Los Angeles County,6037.0,1.0,CALIFORNIA,367,18,20.39
155,aspire golden state college preparatory academy district,CALIFORNIA,51.79,5.79,4.5,0,0,0,0,1.5,0,0,11.33,Aspire Golden State College Preparatory Academy District,601552.0,Alameda County,6001.0,1.0,CALIFORNIA,608,25.67,23.69
156,aspire inskeep academy charter district,CALIFORNIA,40.52,8.18,1,0,0,0,0,3,0.39,0.5,9.13,Aspire Inskeep Academy Charter District,602417.0,Los Angeles County,6037.0,1.0,CALIFORNIA,379,15,25.27
157,aspire juanita tate academy charter district,CALIFORNIA,40.96,10.35,1,0,0,0,0,3,0.37,0.83,7.38,Aspire Juanita Tate Academy Charter District,602335.0,Los Angeles County,6037.0,1.0,CALIFORNIA,380,14.7,25.85
158,aspire junior collegiate academy district,CALIFORNIA,34.58,6,1,0,0,0,0,2,0,0.35,9.73,Aspire Junior Collegiate Academy District,601557.0,Los Angeles County,6037.0,1.0,CALIFORNIA,323,13.5,23.93
159,aspire langston hughes academy district,CALIFORNIA,67.94,8.09,3.5,0,0,0.75,0,2.5,0.2,0.5,11.7,Aspire Langston Hughes Academy District,601801.0,San Joaquin County,6077.0,1.0,CALIFORNIA,820,37,22.16
160,aspire lionel wilson college preparatory academy district,CALIFORNIA,50.78,5.5,4,0,0,0,0,2,0,1,8.28,Aspire Lionel Wilson College Preparatory Academy District,602212.0,Alameda County,6001.0,1.0,CALIFORNIA,505,27,18.7
161,aspire monarch academy district,CALIFORNIA,37.18,4.78,1,0,0,0,0,3,0.5,0,7.1,Aspire Monarch Academy District,602448.0,Alameda County,6001.0,1.0,CALIFORNIA,414,18.8,22.02
162,aspire ollin university preparatory academy district,CALIFORNIA,55.66,11.56,2.5,0,0,0,0,3,0,0,10.42,Aspire Ollin University Preparatory Academy District,601857.0,Los Angeles County,6037.0,1.0,CALIFORNIA,564,25.18,22.4
163,aspire pacific academy district,CALIFORNIA,61.42,10.6,2.5,0,0,0,0,3,1,1,14.32,Aspire Pacific Academy District,601667.0,Los Angeles County,6037.0,1.0,CALIFORNIA,578,26,22.23
164,aspire port city academy district,CALIFORNIA,43.51,9.91,0.5,0,0,0.8,0,3,0.2,0,8.6,Aspire Port City Academy District,602445.0,San Joaquin County,6077.0,1.0,CALIFORNIA,438,19.5,22.46
165,aspire richmond ca. college preparatory academy district,CALIFORNIA,50.24,7.34,2,0,0,0,0,2.5,0.5,0.6,5.6,Aspire Richmond Ca. College Preparatory Academy District,602403.0,Contra Costa County,6013.0,1.0,CALIFORNIA,580,28.7,20.21
166,aspire richmond technology academy district,CALIFORNIA,43.08,7.67,1,0,0,0,0,2,0.5,1,7.91,Aspire Richmond Technology Academy District,601547.0,Contra Costa County,6013.0,1.0,CALIFORNIA,450,20,22.5
167,aspire river oaks charter district,CALIFORNIA,33.06,2.6,0,0,0,0,0,2.64,0,0,6.18,Aspire River Oaks Charter District,602452.0,San Joaquin County,6077.0,1.0,CALIFORNIA,423,19.64,21.54
168,aspire rosa parks academy district,CALIFORNIA,40.74,8.8,0,0,0,0,0,2,0,0,7.43,Aspire Rosa Parks Academy District,602059.0,San Joaquin County,6077.0,1.0,CALIFORNIA,405,20.51,19.75
169,aspire slauson academy charter district,CALIFORNIA,38.32,8.56,1,0,0,0,0,3,0.37,0.5,9.04,Aspire Slauson Academy Charter District,602196.0,Los Angeles County,6037.0,1.0,CALIFORNIA,341,13.5,25.26
170,aspire stockton 6-12 secondary academy district,CALIFORNIA,5.5,1,0,0,0,0,0,0,0,0,2,Aspire Stockton 6-12 Secondary Academy District,602532.0,San Joaquin County,6077.0,1.0,CALIFORNIA,41,2,20.5
171,aspire stockton tk-5 elementary academy district,CALIFORNIA,8,1,0,0,0,0,0,0,0.1,0,2.2,Aspire Stockton TK-5 Elementary Academy District,602534.0,San Joaquin County,6077.0,1.0,CALIFORNIA,67,4,16.75
172,aspire summit charter academy district,CALIFORNIA,42.69,9.13,0.7,0,0,0,0,2,0.8,0.2,8.86,Aspire Summit Charter Academy District,602095.0,Stanislaus County,6099.0,1.0,CALIFORNIA,416,19,21.89
173,aspire titan academy district,CALIFORNIA,32.82,4.83,0.5,0,0,0,0,2,0,0.53,9.03,Aspire Titan Academy District,601524.0,Los Angeles County,6037.0,1.0,CALIFORNIA,322,13.93,23.12
