,District Name,State Name [District] Latest available year_x,Total Staff [District] 2020-21,Paraprofessionals/Instructional Aides [District] 2020-21,Total Guidance Counselors [District] 2020-21,Instructional Coordinators [District] 2020-21,Librarians/media specialists [District] 2020-21,LEA Administrators [District] 2020-21,LEA Administrative Support Staff [District] 2020-21,School Administrators [District] 2020-21,Student Support Services Staff (w/o Psychology) [District] 2020-21,School Psychologist [District] 2020-21,Other Support Services Staff [District] 2020-21,Agency Name [District] 2020-21,Agency_ID,County Name [District] 2020-21_x,County Number [District] 2020-21,Total Number Operational Schools [Public School] 2020-21,State Name [District] 2020-21,"Total Students, All Grades (Excludes AE) [District] 2020-21",Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
1819,sol aureus college preparatory district,CALIFORNIA,–,–,–,–,–,–,–,–,–,–,–,Sol Aureus College Preparatory District,601480.0,Sacramento County,6067.0,1.0,CALIFORNIA,392,–,–
1820,solana beach elementary,California,343.53,25.23,5,0,0,6,0,8,8.8,6,121.32,Solana Beach Elementary,636990.0,San Diego County,6073.0,7.0,CALIFORNIA,2720,137.9,19.72
1821,solano county office of education,California,362.59,121.79,0,0,0,25,0,0,9.85,4.55,113.27,Solano County Office of Education,691122.0,Solano County,6095.0,3.0,CALIFORNIA,358,46,7.78
1822,soledad unified,California,505.95,133,12,2,0,7,0,12,10,5,65.33,Soledad Unified,637050.0,Monterey County,6053.0,10.0,CALIFORNIA,4911,212.62,23.1
1823,soleil academy charter district,CALIFORNIA,22,4,0,0,0,0,0,1,0,0,3,Soleil Academy Charter District,601965.0,Los Angeles County,6037.0,1.0,CALIFORNIA,195,8,24.38
1824,solvang elementary,California,54.84,7.03,0,0,0,1,0,1,0,0,8.63,Solvang Elementary,637110.0,Santa Barbara County,6083.0,1.0,CALIFORNIA,607,30,20.23
1825,somis union,California,27.26,1.86,0,0,0,1,0,0,0,1,9.3,Somis Union,637140.0,Ventura County,6111.0,1.0,CALIFORNIA,230,13.1,17.56
1826,sonoma charter district,CALIFORNIA,18.21,4.05,0,0,0,1,0,0,0,0,3.16,Sonoma Charter District,602260.0,Sonoma County,6097.0,1.0,CALIFORNIA,203,9,22.56
1827,sonoma county office of education,California,287.93,75.5,4.3,11,0,8.2,1,6,31.45,6.2,11.8,Sonoma County Office of Education,691040.0,Sonoma County,6097.0,3.0,CALIFORNIA,411,44.23,9.29
1828,sonoma county rop,California,–,–,–,–,–,–,–,–,–,–,–,Sonoma County ROP,600129.0,Sonoma County,6097.0,1.0,CALIFORNIA,0,–,–
1829,sonoma valley unified,California,448.25,53,9.8,0,0.5,6.5,0,13.6,7,3,119,Sonoma Valley Unified,637200.0,Sonoma County,6097.0,9.0,CALIFORNIA,3503,184.2,19.02
1830,sonora elementary,California,62.09,8.75,0.8,0,0,0.5,0,1.5,0,0,13.94,Sonora Elementary,637230.0,Tuolumne County,6109.0,1.0,CALIFORNIA,698,32.97,21.17
1831,sonora union high,California,98.18,4.87,4,1,0,1,0,1.95,0,0,30.02,Sonora Union High,637260.0,Tuolumne County,6109.0,3.0,CALIFORNIA,1022,42.94,23.8
1832,soquel union elementary,California,168.18,16.9,2,1.4,0,4,0,3.95,4,2,29.19,Soquel Union Elementary,637290.0,Santa Cruz County,6087.0,5.0,CALIFORNIA,1745,81.35,21.45
1833,soulsbyville elementary,California,56.92,11.57,0,0,0,1,0,1,0,0,12.04,Soulsbyville Elementary,637320.0,Tuolumne County,6109.0,2.0,CALIFORNIA,476,25.91,18.37
1834,south bay union,California,586.34,63.94,1,2,0,11,0,12,24,15,134.71,South Bay Union,637380.0,San Diego County,6073.0,13.0,CALIFORNIA,6446,273.5,23.57
1835,south bay union elementary,California,62.1,16.48,0,2.39,0,0,0,3,1,0,9.5,South Bay Union Elementary,637350.0,Humboldt County,6023.0,3.0,CALIFORNIA,482,27.13,17.77
1836,south county support services agency,California,–,–,†,–,–,–,–,–,–,–,–,South County Support Services Agency,601368.0,Fresno County,6019.0,0.0,CALIFORNIA,†,†,†
1837,south fork union,California,35.12,7.17,0,0,0,0,0,0.9,0,0,9.3,South Fork Union,637470.0,Kern County,6029.0,1.0,CALIFORNIA,291,13,22.38
1838,south monterey county joint union high,California,207.54,25.67,4.86,1.47,0,2,0,8.28,0,2,32.24,South Monterey County Joint Union High,619650.0,Monterey County,6053.0,4.0,CALIFORNIA,2659,108.02,24.62
1839,south pasadena unified,California,364.68,37.66,11.7,0,0,4,0,8,2.5,4.1,68.1,South Pasadena Unified,637500.0,Los Angeles County,6037.0,5.0,CALIFORNIA,4718,199.1,23.7
1840,south san francisco unified,California,814.74,102.63,10.5,1,0,10,0,24,12,1,143.58,South San Francisco Unified,637530.0,San Mateo County,6081.0,17.0,CALIFORNIA,8182,396.2,20.65
1841,south sutter charter district,CALIFORNIA,145.15,0,3,2,0,4,5.5,0,0,1.1,4,South Sutter Charter District,601740.0,Sutter County,6101.0,1.0,CALIFORNIA,2628,111.8,23.51
1842,south whittier elementary,California,257.8,38.17,2,10,0,3,0,8,5.6,3.99,45.5,South Whittier Elementary,637560.0,Los Angeles County,6037.0,7.0,CALIFORNIA,2444,100.22,24.39
1843,southern california roc,California,–,–,–,–,–,–,–,–,–,–,–,Southern California ROC,600107.0,Los Angeles County,6037.0,1.0,CALIFORNIA,0,–,–
1844,southern california rop,California,–,–,†,–,–,–,–,–,–,–,–,Southern California ROP,601386.0,Los Angeles County,6037.0,0.0,CALIFORNIA,†,†,†
1845,southern humboldt joint unified,California,80.35,19.21,0,0,0,0,0,3.2,0,1,11.54,Southern Humboldt Joint Unified,637590.0,Humboldt County,6023.0,8.0,CALIFORNIA,666,39.65,16.8
1846,southern kern unified,California,345.46,54.25,3,2,0,3,0,9,2,5,84.09,Southern Kern Unified,637620.0,Kern County,6029.0,6.0,CALIFORNIA,3366,159.12,21.15
1847,southern placer schools transportation authority,California,–,–,†,–,–,–,–,–,–,–,–,Southern Placer Schools Transportation Authority,601391.0,Placer County,6061.0,0.0,CALIFORNIA,†,†,†
1848,southern trinity joint unified,California,19.4,4.94,0,0,0,0,0,0.9,0,0,2.38,Southern Trinity Joint Unified,637630.0,Trinity County,6105.0,4.0,CALIFORNIA,86,9.18,9.37
1849,southside elementary,California,16.75,3,0,0,0,0,0,1,0,0,1.75,Southside Elementary,637650.0,San Benito County,6069.0,1.0,CALIFORNIA,205,10,20.5
1850,southwest transportation agency,California,–,–,†,–,–,–,–,–,–,–,–,Southwest Transportation Agency,601394.0,Fresno County,6019.0,0.0,CALIFORNIA,†,†,†
1851,sparrow academy district,CALIFORNIA,19.76,0.5,0,0,0,0,0,1,0,0.2,3.75,Sparrow Academy District,602298.0,San Diego County,6073.0,1.0,CALIFORNIA,322,12.81,25.14
1852,spencer valley elementary,California,8.73,0,0,0,0,0,0,0.2,0,0,2.83,Spencer Valley Elementary,637680.0,San Diego County,6073.0,1.0,CALIFORNIA,32,4,8
1853,spreckels union elementary,California,76.88,7.5,0,0,0,0.5,0,2,1,0,15.82,Spreckels Union Elementary,637710.0,Monterey County,6053.0,2.0,CALIFORNIA,955,44.4,21.51
1854,springville union elementary,California,31.11,3.96,0,0,0,0,0,1,0,0,6.4,Springville Union Elementary,637770.0,Tulare County,6107.0,1.0,CALIFORNIA,283,17,16.65
1855,st. hope public school 7 district,CALIFORNIA,48,5,0,0,0,2,0,1.5,0,1,5.5,St. HOPE Public School 7 District,602094.0,Sacramento County,6067.0,1.0,CALIFORNIA,565,30,18.83
1856,standard elementary,California,321.18,52.3,2,9.01,0,3,0,9,6.51,7,69.72,Standard Elementary,637890.0,Kern County,6029.0,4.0,CALIFORNIA,2913,143,20.37
1857,stanislaus alternative charter district,CALIFORNIA,51,0,3,0,0,0,0,1,0,0,3,Stanislaus Alternative Charter District,602421.0,Stanislaus County,6099.0,1.0,CALIFORNIA,678,37,18.32
1858,stanislaus county office of education,California,946.29,239.44,3,1,0,146.62,0,8,16.8,5,204.85,Stanislaus County Office of Education,691041.0,Stanislaus County,6099.0,5.0,CALIFORNIA,816,77.51,10.53
1859,stanislaus union elementary,California,291.16,22.25,1,4,0,4,0,10,5,3,71.67,Stanislaus Union Elementary,637950.0,Stanislaus County,6099.0,6.0,CALIFORNIA,3431,157.34,21.81
1860,steele canyon high district,CALIFORNIA,156.69,17.87,4,0.5,1,0,0,5,1,0,24.69,Steele Canyon High District,601838.0,San Diego County,6073.0,1.0,CALIFORNIA,2182,81.88,26.65
1861,stella elementary charter academy district,CALIFORNIA,18.05,2,1,0,0,1.11,0.44,2,0,0.5,3,Stella Elementary Charter Academy District,602322.0,Los Angeles County,6037.0,1.0,CALIFORNIA,188,8,23.5
1862,stella middle charter academy district,CALIFORNIA,46.05,10,4,0,0,2.61,0.44,3,0,0.5,4.08,Stella Middle Charter Academy District,601889.0,Los Angeles County,6037.0,1.0,CALIFORNIA,469,19.42,24.15
1863,stem preparatory elementary district,CALIFORNIA,35.63,8,0.33,1.98,0,0.66,0,1,0.33,0.33,4,STEM Preparatory Elementary District,602045.0,Los Angeles County,6037.0,1.0,CALIFORNIA,313,15,20.87
1864,stockton collegiate international elementary district,CALIFORNIA,36.75,5,1,0,0,2.5,0,0,0,0,5.75,Stockton Collegiate International Elementary District,602418.0,San Joaquin County,6077.0,1.0,CALIFORNIA,457,21,21.76
1865,stockton collegiate international secondary district,CALIFORNIA,44,0,1,0,0,2,0,0,0,0,6.75,Stockton Collegiate International Secondary District,601792.0,San Joaquin County,6077.0,1.0,CALIFORNIA,514,32.75,15.69
1866,stockton unified,California,3845.6,423.99,93.39,50.71,0,43,0,121.97,71.65,31.35,1202.94,Stockton Unified,638010.0,San Joaquin County,6077.0,55.0,CALIFORNIA,36190,1585.02,22.83
1867,stone bridge district,CALIFORNIA,21.28,6.82,0,0,0,0,0,0,0,0,1.46,Stone Bridge District,601978.0,Napa County,6055.0,1.0,CALIFORNIA,269,10,26.9
1868,stone corral elementary,California,11.75,0.75,0,0,0,1,0,0,0,0,2,Stone Corral Elementary,638040.0,Tulare County,6107.0,1.0,CALIFORNIA,130,7,18.57
1869,stony creek joint unified,California,18,2,0.5,0,0,0.5,0,0.5,0,0,4.5,Stony Creek Joint Unified,638070.0,Glenn County,6021.0,4.0,CALIFORNIA,81,9,9
1870,strathmore union elementary,California,77.42,20.94,0,1,0,1,0,3,0,0,15.1,Strathmore Union Elementary,638130.0,Tulare County,6107.0,2.0,CALIFORNIA,718,32,22.44
1871,stream charter district,CALIFORNIA,26.24,5.54,0,1.5,0,2,0,0,1,1,1.3,STREAM Charter District,602057.0,Butte County,6007.0,1.0,CALIFORNIA,286,10.9,26.24
1872,sulphur springs union,California,445.33,111.19,0,0,0.05,5,0,12,20,7.4,51.89,Sulphur Springs Union,638220.0,Los Angeles County,6037.0,10.0,CALIFORNIA,5069,197.77,25.63
1873,summerville elementary,California,42.52,8.06,0,0,0,1,0,0.24,0,0,11.52,Summerville Elementary,638250.0,Tuolumne County,6109.0,1.0,CALIFORNIA,385,18.74,20.54
1874,summerville union high,California,62.72,2.89,2.35,0,0,1,0,1.63,0,0,18.44,Summerville Union High,638280.0,Tuolumne County,6109.0,6.0,CALIFORNIA,631,31.8,19.84
1875,summit leadership academy-high desert district,CALIFORNIA,33.55,2.5,0.8,0,0,0,0,1,0,0,6.25,Summit Leadership Academy-High Desert District,601607.0,San Bernardino County,6071.0,1.0,CALIFORNIA,263,18,14.61
1876,summit preparatory charter high district,CALIFORNIA,33.5,0,0,3.2,0,5,0,0,0,0,4.5,Summit Preparatory Charter High District,602287.0,San Mateo County,6081.0,1.0,CALIFORNIA,436,17.8,24.49
1877,summit public school k2 district,CALIFORNIA,46.81,0,0,0,0,3,0,0,0,0,4.15,Summit Public School K2 District,601912.0,Contra Costa County,6013.0,1.0,CALIFORNIA,565,35.66,15.84
1878,summit public school: denali district,CALIFORNIA,53.5,0,0,0,0,3,0,2,0,0,6,Summit Public School: Denali District,602169.0,Santa Clara County,6085.0,1.0,CALIFORNIA,634,40.5,15.65
1879,summit public school: shasta district,CALIFORNIA,36.56,0,0,0,0,2,0,2,0,0,2.56,Summit Public School: Shasta District,601648.0,San Mateo County,6081.0,1.0,CALIFORNIA,469,27,17.37
1880,summit public school: tahoma district,CALIFORNIA,39.05,0,0,0,0,3,0,2,0,0,4.55,Summit Public School: Tahoma District,602222.0,Santa Clara County,6085.0,1.0,CALIFORNIA,470,27.5,17.09
1881,summit public school: tamalpais district,CALIFORNIA,40.47,0,0,1,0,1,0,1,0,0,3.8,Summit Public School: Tamalpais District,602026.0,Contra Costa County,6013.0,1.0,CALIFORNIA,521,29.67,17.56
1882,sundale union elementary,California,66.5,20.5,1,0,0,1,0,2,0,0,10,Sundale Union Elementary,638340.0,Tulare County,6107.0,1.0,CALIFORNIA,756,32,23.63
1883,sunnyside union elementary,California,45.97,6.76,0,0,0,1,0,1,0,0,16.3,Sunnyside Union Elementary,638430.0,Tulare County,6107.0,1.0,CALIFORNIA,354,17.01,20.81
1884,sunnyvale,California,635.01,99.82,0,22.5,0,8,0,25,23.6,11.8,120.79,Sunnyvale,638460.0,Santa Clara County,6085.0,10.0,CALIFORNIA,5950,289.42,20.56
1885,sunol glen unified,California,19.9,1.82,0,0,0,0.5,0,0.5,0,0,2,Sunol Glen Unified,600021.0,Alameda County,6001.0,1.0,CALIFORNIA,273,12.08,22.6
1886,sunrise middle district,CALIFORNIA,25.7,10,0,0,0,0.7,0,2,0,0,0,Sunrise Middle District,602166.0,Santa Clara County,6085.0,1.0,CALIFORNIA,260,10,26
1887,surprise valley joint unified,California,15.9,0.47,0,0,0,1,0,0,0,0,4.35,Surprise Valley Joint Unified,638520.0,Modoc County,6049.0,2.0,CALIFORNIA,121,7.45,16.24
1888,susanville elementary,California,106.47,26.25,0,0,0,1,0,3,1,0,18.71,Susanville Elementary,638550.0,Lassen County,6035.0,3.0,CALIFORNIA,1061,47,22.57
1889,sutter county office of education,California,260.46,94.92,3,1,0,11,3,4,5.8,5.95,57.29,Sutter County Office of Education,691042.0,Sutter County,6101.0,3.0,CALIFORNIA,348,37,9.41
1890,sutter peak charter academy district,CALIFORNIA,27.67,0,1,0,0,2,0,0,0,0,2,Sutter Peak Charter Academy District,601512.0,Sutter County,6101.0,1.0,CALIFORNIA,576,20.67,27.87
1891,sutter union high,California,68,0,0.9,0,0.1,0,0,2.5,0,0,21,Sutter Union High,638610.0,Sutter County,6101.0,2.0,CALIFORNIA,808,35.5,22.76
1892,sweetwater secondary district,CALIFORNIA,25.01,5,0.5,0.3,0,1.05,0,0,0.25,0,2.42,Sweetwater Secondary District,601509.0,San Diego County,6073.0,1.0,CALIFORNIA,358,10,35.8
1893,sweetwater union high,California,3321.83,497.04,113,14.38,7.64,20.6,0,91,52,28,508.31,Sweetwater Union High,638640.0,San Diego County,6073.0,28.0,CALIFORNIA,37060,1576.85,23.5
1894,sycamore academy of science and cultural arts chino vly dist,CALIFORNIA,26.51,5.5,0,0,0,2,0,3,0,0,1.63,Sycamore Academy of Science and Cultural Arts Chino VLY DIST,602518.0,San Bernardino County,6071.0,1.0,CALIFORNIA,251,12.88,19.49
1895,sycamore academy of science and cultural arts district,CALIFORNIA,48.67,6.5,0,0,0,3,0,1,0,0,5.5,Sycamore Academy of Science and Cultural Arts District,602009.0,Riverside County,6065.0,1.0,CALIFORNIA,654,26.67,24.52
1896,sycamore creek community charter district,CALIFORNIA,9.35,1.5,0,0,0,0,0,0,0,0.1,1.5,Sycamore Creek Community Charter District,602486.0,Orange County,6059.0,1.0,CALIFORNIA,129,6,21.5
1897,sycamore valley academy district,CALIFORNIA,34.72,13.04,0,0.5,0,0.5,0,2,0,0,2.88,Sycamore Valley Academy District,601469.0,Tulare County,6107.0,1.0,CALIFORNIA,395,13.8,28.62
1898,sylvan union elementary,California,744.46,117.25,8,10,1,14,0,15.5,14.8,8,136.08,Sylvan Union Elementary,638670.0,Stanislaus County,6099.0,13.0,CALIFORNIA,7913,361.61,21.88
1899,synergy charter academy district,CALIFORNIA,23.66,5.5,0,0,0,0,0,1,0,0,2.66,Synergy Charter Academy District,602228.0,Los Angeles County,6037.0,1.0,CALIFORNIA,310,13,23.85
1900,synergy kinetic academy district,CALIFORNIA,40.16,8,2,0,0,1,0,2,0,0,7.66,Synergy Kinetic Academy District,602078.0,Los Angeles County,6037.0,1.0,CALIFORNIA,480,17,28.24
1901,synergy quantum academy district,CALIFORNIA,56.16,7,6,0,0,0,0,2,0,0,3.16,Synergy Quantum Academy District,601867.0,Los Angeles County,6037.0,1.0,CALIFORNIA,557,29.5,18.88
1902,taft city,California,238.6,30.96,0,0,0,2,0,6.75,6,3,55.55,Taft City,638700.0,Kern County,6029.0,6.0,CALIFORNIA,2322,108.89,21.32
1903,taft union high,California,143.89,14,3.5,0,0.5,3,0,4,0,1,35.21,Taft Union High,638730.0,Kern County,6029.0,2.0,CALIFORNIA,1095,57.68,18.98
1904,tahoe-truckee unified,California,642.48,110.2,10.3,3.33,0,1,0,15.2,17.01,4.8,187.97,Tahoe-Truckee Unified,638770.0,Nevada County,6057.0,11.0,CALIFORNIA,3945,219.41,17.98
1905,tamalpais union high,California,474.44,44.8,18,3,0,7.9,0,12.5,2.8,8.8,48.89,Tamalpais Union High,638790.0,Marin County,6041.0,5.0,CALIFORNIA,5166,267.31,19.33
1906,taylion high desert academy/adelanto district,CALIFORNIA,9.99,0.5,0.8,0,0,1.75,0,1,0,0,2,Taylion High Desert Academy/Adelanto District,601970.0,San Bernardino County,6071.0,1.0,CALIFORNIA,212,3.94,53.81
1907,teach academy of technologies district,CALIFORNIA,27.5,1,2,0,0,0,0,1,0,0,5.5,TEACH Academy of Technologies District,602202.0,Los Angeles County,6037.0,1.0,CALIFORNIA,466,16,29.13
1908,teach prep mildred s. cunningham & edith h. morris elem dist,CALIFORNIA,13.5,3,0,0,0,0,0,1,0,0,1.5,TEACH Prep Mildred S. Cunningham & Edith H. Morris Elem DIST,601575.0,Los Angeles County,6037.0,1.0,CALIFORNIA,187,6,31.17
1909,teach tech charter high district,CALIFORNIA,30.49,1,1,0.25,0,0,0,2,0,0,4.5,TEACH Tech Charter High District,602470.0,Los Angeles County,6037.0,1.0,CALIFORNIA,421,19.74,21.33
1910,team charter academy district,CALIFORNIA,28.5,2,0.25,0.5,0,0.25,0,2,0,0,12.25,Team Charter Academy District,602352.0,San Joaquin County,6077.0,1.0,CALIFORNIA,225,10,22.5
1911,team charter district,CALIFORNIA,83.75,4,1,1.5,0,0.75,0,3,0,0,41.5,TEAM Charter District,601846.0,San Joaquin County,6077.0,1.0,CALIFORNIA,663,29,22.86
1912,tehachapi unified,California,396.3,69.13,4,8.66,1,2,0,7.98,4.99,3,86.02,Tehachapi Unified,638880.0,Kern County,6029.0,6.0,CALIFORNIA,3971,178.46,22.25
1913,tehama county department of education,California,185.36,35.61,0,5.91,0,6.5,0,0,9,3,78.74,Tehama County Department of Education,691043.0,Tehama County,6103.0,3.0,CALIFORNIA,125,11.1,11.26
1914,tehama county rop,California,–,–,–,–,–,–,–,–,–,–,–,Tehama County ROP,600146.0,Tehama County,6103.0,1.0,CALIFORNIA,0,–,–
1915,tehama elearning academy district,CALIFORNIA,7.99,0.75,0,0,0,0,0,0,0,0,0,Tehama eLearning Academy District,602544.0,Tehama County,6103.0,1.0,CALIFORNIA,112,5.24,21.37
1916,temecula international academy district,CALIFORNIA,21.19,0,0,0,0,0,0,1,0,0,6.19,Temecula International Academy District,602271.0,Riverside County,6065.0,1.0,CALIFORNIA,270,14,19.29
1917,temecula preparatory district,CALIFORNIA,79.9,5.5,1.9,0,0,0,0,1,1,0,13,Temecula Preparatory District,602084.0,Riverside County,6065.0,1.0,CALIFORNIA,1088,50.5,21.54
1918,temecula valley charter district,CALIFORNIA,69.9,15,0,0,0,2,0,1,0.5,1.6,18.8,Temecula Valley Charter District,602068.0,Riverside County,6065.0,1.0,CALIFORNIA,546,25.8,21.16
1919,temecula valley unified,California,2273.08,308.32,40.2,0,1,14.75,2,64.9,71.1,31.2,440.3,Temecula Valley Unified,600028.0,Riverside County,6065.0,28.0,CALIFORNIA,26710,1107.4,24.12
1920,temple city unified,California,464.27,61.36,13.8,0,0,5,0,11,7.8,4,103.01,Temple City Unified,638980.0,Los Angeles County,6037.0,8.0,CALIFORNIA,5482,223.54,24.52
1921,templeton unified,California,222.97,31.61,5.8,0,0,2,0,6,2.3,2,53.42,Templeton Unified,639000.0,San Luis Obispo County,6079.0,7.0,CALIFORNIA,2317,101.71,22.78
1922,terra bella union elementary,California,79.76,9.63,0,1.75,0,1.5,0,2.25,0,1,17.63,Terra Bella Union Elementary,639060.0,Tulare County,6107.0,2.0,CALIFORNIA,814,39,20.87
1923,the academy of alameda district,CALIFORNIA,37.68,4.75,1,0.93,0,1.6,0,0,0.24,1,2.8,The Academy of Alameda District,601642.0,Alameda County,6001.0,1.0,CALIFORNIA,439,21.16,20.75
1924,the academy of alameda elementary district,CALIFORNIA,26.91,4.1,0,0.4,0,1.4,0,0,0.16,1.2,3.85,The Academy of Alameda Elementary District,602179.0,Alameda County,6001.0,1.0,CALIFORNIA,303,13,23.31
1925,the city district,CALIFORNIA,44,19,0,0,0,0,0,2,0,0,6,The City District,601668.0,Los Angeles County,6037.0,1.0,CALIFORNIA,319,14,22.79
1926,the education corps district,CALIFORNIA,18.5,0,0.5,0,0,2,0,2.4,0,0,5.25,The Education Corps District,601873.0,Los Angeles County,6037.0,1.0,CALIFORNIA,247,6.6,37.42
1927,the heights charter district,CALIFORNIA,21.86,8.9,0,0,0,0.7,0,0,0,0.6,0.1,The Heights Charter District,601489.0,San Diego County,6073.0,1.0,CALIFORNIA,279,8.66,32.22
1928,the language academy of sacramento district,CALIFORNIA,51.6,7.7,1,2,0,1,0,0,0,1,4.05,The Language Academy of Sacramento District,601786.0,Sacramento County,6067.0,1.0,CALIFORNIA,610,30.25,20.17
1929,the learning choice academy - east county district,CALIFORNIA,35.03,3.95,0.18,0.72,0,1.7,0,0.9,0.36,0.36,2.16,The Learning Choice Academy - East County District,602498.0,San Diego County,6073.0,1.0,CALIFORNIA,374,21.14,17.69
1930,the new school of san francisco district,CALIFORNIA,49.8,3.4,0,0,0,2,1,0,0,0,17,The New School of San Francisco District,602439.0,San Francisco County,6075.0,1.0,CALIFORNIA,347,24,14.46
1931,the o'farrell charter district,CALIFORNIA,169.26,27.5,0,0,0,2.6,0,5,0.95,1.6,17,The O'Farrell Charter District,602136.0,San Diego County,6073.0,1.0,CALIFORNIA,1929,95.11,20.28
1932,thermalito union elementary,California,162.58,18.28,4,1,0,1,0,5,3,1,44.4,Thermalito Union Elementary,639180.0,Butte County,6007.0,5.0,CALIFORNIA,1507,70.1,21.5
1933,thomas edison charter academy district,CALIFORNIA,63.7,3,0,0.5,1,2,0,2,0,0,16.7,Thomas Edison Charter Academy District,602054.0,San Francisco County,6075.0,1.0,CALIFORNIA,710,33.5,21.19
1934,thompson peak charter district,CALIFORNIA,15.34,1,0.5,0.05,0,0.5,0,0.7,0,0,0.5,Thompson Peak Charter District,601840.0,Lassen County,6035.0,1.0,CALIFORNIA,159,8.84,17.99
1935,three rivers charter district,CALIFORNIA,11,3,0,0,0,0,0,1,0,0,2,Three Rivers Charter District,601999.0,Mendocino County,6045.0,1.0,CALIFORNIA,84,4,21
1936,three rivers union elementary,California,16.01,1.92,0,0,0,0,0,1,0,0,3.04,Three Rivers Union Elementary,639210.0,Tulare County,6107.0,1.0,CALIFORNIA,104,8,13
1937,tipton elementary,California,56.05,12.42,0,0,0,1,0,1,0,0,15,Tipton Elementary,639300.0,Tulare County,6107.0,1.0,CALIFORNIA,527,24,21.96
1938,today's fresh start-compton district,CALIFORNIA,68.25,9,1.5,1,0,3,0,1,0,0,14.5,Today's Fresh Start-Compton District,601952.0,Los Angeles County,6037.0,1.0,CALIFORNIA,661,31,21.32
1939,tomorrow's leadership collaborative (tlc) charter district,CALIFORNIA,20.75,7,0,0,0,0,0,0,0,0,1.75,Tomorrow's Leadership Collaborative (TLC) Charter District,602272.0,Orange County,6059.0,1.0,CALIFORNIA,153,9,17
1940,torrance unified,California,2150.08,382.3,46.32,0,4,18,0,63.04,50.96,18.1,470.6,Torrance Unified,639420.0,Los Angeles County,6037.0,32.0,CALIFORNIA,22490,915.76,24.56
1941,tracy joint unified,California,1256.04,137.88,17,7.08,3,7,2,30.66,10,16.8,300.03,Tracy Joint Unified,600047.0,San Joaquin County,6077.0,20.0,CALIFORNIA,14287,617.71,23.13
1942,traver joint elementary,California,23.77,4.04,0,0,0,0.5,0,0.5,0,0,6.23,Traver Joint Elementary,639600.0,Tulare County,6107.0,1.0,CALIFORNIA,226,10,22.6
1943,travis unified,California,448.83,53.08,6,0.08,1.2,8,0,13,9.5,7,93.64,Travis Unified,639630.0,Solano County,6095.0,10.0,CALIFORNIA,5284,230.07,22.97
1944,tree of life charter district,CALIFORNIA,11.55,4,0,0.3,0,0.5,0,1.5,0,0,0.5,Tree of Life Charter District,602267.0,Mendocino County,6045.0,1.0,CALIFORNIA,34,3.5,9.71
1945,tree of life international charter district,CALIFORNIA,29.66,9.53,0.5,0,0,1,0,0,0,0,6.63,Tree of Life International Charter District,602157.0,Shasta County,6089.0,1.0,CALIFORNIA,240,11,21.82
1946,tres pinos union elementary,California,6.61,0.72,0,0,0,0.5,0,0.7,0,0,0,Tres Pinos Union Elementary,639690.0,San Benito County,6069.0,1.0,CALIFORNIA,61,4.01,15.21
1947,tri-cities rop,California,–,–,†,–,–,–,–,–,–,–,–,Tri-Cities ROP,601346.0,Los Angeles County,6037.0,0.0,CALIFORNIA,†,†,†
1948,tri-cities rop,California,–,–,–,–,–,–,–,–,–,–,–,Tri-Cities ROP,600106.0,Los Angeles County,6037.0,1.0,CALIFORNIA,0,–,–
1949,tri-county rop,California,–,–,–,–,–,–,–,–,–,–,–,Tri-County ROP,600145.0,Sutter County,6101.0,1.0,CALIFORNIA,0,–,–
1950,tri-valley rop,California,–,–,–,–,–,–,–,–,–,–,–,Tri-Valley ROP,600084.0,Alameda County,6001.0,1.0,CALIFORNIA,0,–,–
1951,tri-valley rop jpa,California,–,–,†,–,–,–,–,–,–,–,–,Tri-Valley ROP JPA,601388.0,Alameda County,6001.0,0.0,CALIFORNIA,†,†,†
1952,trinidad union elementary,California,24.06,6.32,0,0,0,0,0,1,0.4,0,4.78,Trinidad Union Elementary,639720.0,Humboldt County,6023.0,1.0,CALIFORNIA,185,10,18.5
1953,trinity alps unified,California,76.65,18.25,0.75,1,0,1,0,1.75,0,0,12.58,Trinity Alps Unified,601331.0,Trinity County,6105.0,4.0,CALIFORNIA,695,34.07,20.4
1954,trinity center elementary,California,3.77,0.84,0,0,0,0.03,0,0.03,0,0,0.87,Trinity Center Elementary,639750.0,Trinity County,6105.0,1.0,CALIFORNIA,18,1,18
1955,trinity county office of education,California,28.18,1.75,1,0,0,4.5,0,0,1.57,2.52,7.41,Trinity County Office of Education,691044.0,Trinity County,6105.0,3.0,CALIFORNIA,7,1,7
1956,trivium charter district,CALIFORNIA,29.18,7.81,0,0,0,1.04,0,0,0,0.11,1.65,Trivium Charter District,602401.0,Santa Barbara County,6083.0,1.0,CALIFORNIA,326,17.94,18.17
1957,trivium charter school adventure district,CALIFORNIA,21.95,4.05,0,0.33,0,1.04,0,0,0,0.11,1.92,Trivium Charter School Adventure District,601631.0,Santa Barbara County,6083.0,1.0,CALIFORNIA,221,13.87,15.93
1958,trivium charter school voyage district,CALIFORNIA,24.23,4.6,0,0.99,0,1.09,0,0,0,0.11,1.32,Trivium Charter School Voyage District,601938.0,Santa Barbara County,6083.0,1.0,CALIFORNIA,289,15.44,18.72
